,player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
390,Gary Neal,SG,32,ATL,2,0,9.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,2.0
391,Jameer Nelson,PG,34,DEN,75,39,27.3,3.6,8.1,0.444,1.4,3.6,0.388,2.2,4.4,0.489,0.531,0.6,0.6,0.714,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2
392,Raul Neto,PG,24,UTA,40,0,8.7,1.0,2.3,0.451,0.3,0.8,0.323,0.8,1.5,0.517,0.505,0.2,0.2,0.889,0.1,0.7,0.8,0.9,0.5,0.1,0.4,1.2,2.5
393,Georges Niang,PF,23,IND,23,0,4.0,0.4,1.6,0.25,0.0,0.5,0.083,0.3,1.0,0.333,0.264,0.1,0.1,1.0,0.1,0.7,0.7,0.2,0.1,0.0,0.2,0.3,0.9
394,Andrew Nicholson,PF,27,TOT,38,0,9.0,1.1,2.9,0.387,0.1,0.7,0.185,1.0,2.2,0.452,0.41,0.2,0.2,0.643,0.4,1.2,1.6,0.3,0.4,0.2,0.4,1.4,2.6
395,Andrew Nicholson,PF,27,WAS,28,0,8.3,1.1,2.8,0.39,0.1,0.6,0.188,1.0,2.2,0.443,0.409,0.3,0.3,0.583,0.4,0.8,1.2,0.3,0.4,0.2,0.4,1.3,2.5
396,Andrew Nicholson,PF,27,BRK,10,0,11.1,1.3,3.4,0.382,0.2,1.1,0.182,1.1,2.3,0.478,0.412,0.2,0.2,1.0,0.4,2.3,2.7,0.3,0.5,0.0,0.6,1.8,3.0
397,Joakim Noah,C,31,NYK,46,46,22.1,2.2,4.4,0.49,0.0,0.0,0.0,2.2,4.4,0.493,0.49,0.7,0.7,0.436,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5.0
398,Nerlens Noel,C,22,TOT,51,19,20.5,3.6,6.1,0.595,0.0,0.0,0.0,3.6,6.0,0.597,0.595,1.5,1.5,0.694,1.8,3.9,5.8,1.0,1.3,1.0,1.0,2.5,8.7
399,Nerlens Noel,C,22,PHI,29,7,19.4,3.7,6.0,0.611,0.0,0.0,0.0,3.7,6.0,0.615,0.611,1.5,1.5,0.683,1.6,3.4,5.0,1.0,1.5,0.9,1.0,2.4,8.9
400,Nerlens Noel,C,22,DAL,22,12,22.0,3.5,6.1,0.575,0.0,0.0,0.0,3.5,6.1,0.575,0.575,1.5,1.5,0.708,2.1,4.7,6.8,0.9,1.0,1.1,1.0,2.5,8.5
401,Lucas Nogueira,C,24,TOR,57,6,19.1,1.8,2.7,0.66,0.1,0.2,0.25,1.8,2.5,0.694,0.67,0.8,0.8,0.657,1.4,2.8,4.3,0.7,0.9,1.6,0.8,2.4,4.4
402,Steve Novak,PF,33,MIL,8,0,2.8,0.3,0.9,0.286,0.1,0.8,0.167,0.1,0.1,1.0,0.357,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.6
403,Dirk Nowitzki,PF,38,DAL,54,54,26.4,5.5,12.6,0.437,1.5,3.9,0.378,4.0,8.7,0.463,0.495,1.8,1.8,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2
404,Jusuf Nurkic,C,22,TOT,65,48,21.4,4.2,8.2,0.507,0.0,0.0,0.0,4.2,8.2,0.508,0.507,1.8,1.8,0.571,2.4,4.8,7.2,1.9,0.8,1.1,2.2,2.5,10.2
405,Jusuf Nurkic,C,22,DEN,45,29,17.9,3.4,6.6,0.507,0.0,0.0,0.0,3.4,6.6,0.507,0.507,1.2,1.2,0.496,2.0,3.8,5.8,1.3,0.6,0.8,1.8,2.0,8.0
406,Jusuf Nurkic,C,22,POR,20,19,29.2,6.0,11.8,0.508,0.0,0.1,0.0,6.0,11.8,0.511,0.508,3.2,3.2,0.66,3.3,7.1,10.4,3.2,1.3,1.9,3.1,3.7,15.2
407,David Nwaba,SG,24,LAL,20,2,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,1.3,0.641,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6.0
408,Johnny O'Bryant,PF,23,TOT,11,0,7.3,1.4,2.7,0.5,0.3,0.5,0.5,1.1,2.2,0.5,0.55,0.5,0.5,0.833,0.8,0.9,1.7,0.5,0.0,0.1,0.5,0.9,3.5
